Type :,DIL805
Test :,_Henrique-sp3-aq10Cs-resfr100Cs_01.01.07_


;Time;Temperature;Change in Length;Nominal Temperature
 485;82.28016663;822.86004639;124.34039307;822.78967285
 486;82.45076752;824.48150635;124.82305908;824.49572754
 487;82.62030792;826.18096924;125.33194733;826.19116211
 488;82.79086304;827.93530273;125.85658264;827.89660645
 489;82.96040344;829.67059326;126.40219879;829.59179688
 490;83.13114166;831.28399658;126.89796448;831.29943848
 491;83.30067444;832.98474121;127.41998291;832.99487305
 492;83.47013855;834.66979980;127.88952637;834.68945313
 493;83.64083862;836.33282471;128.35906982;836.39648438
 494;83.81028748;838.06799316;128.87583923;838.09094238
 495;83.98089600;839.79058838;129.36112976;839.79705811
 496;84.15046692;841.47863770;129.84640503;841.49279785
 497;84.32007599;843.28002930;130.32382202;843.18878174
 498;84.49079895;844.94165039;130.79861450;844.89599609
 499;84.66043091;846.60101318;131.26553345;846.59240723
 500;84.83114624;848.35015869;131.77180481;848.29949951
 501;85.43231964;850.63348389;132.46432495;850.00000000
 502;86.03152466;849.40612793;132.29119873;850.00000000
 503;86.63158417;850.32525635;132.64270020;850.00000000
 504;87.23212433;849.79510498;132.49317932;850.00000000
 505;87.83142090;850.00793457;132.60859680;850.00000000
